Game_Title,All_Review_Cat,Release_Date,Game_Developer,Game_Publisher,Player_Type,Has_Violence,Price_Original_Before_Discount,Discount_Percentage,Price_Discount,Price_Original,price_subscription,Genre_List,OS_List,Memory,Storage,Hard_Drive,VR_Support,Purchase_All,Purchase_Steam,Purchase_Other,Review_All,Review_Positive,Review_Negative
PAYDAY 2,Very Positive,"13 Aug, 2013",OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,Single-player,None,None,None,None,349,None,"['Action', 'RPG']","['linux', 'windows']","['4 GB', '4 GB']",[],"['31 GB', '31 GB']",VR Support,427938,257594,170344,427938,370019,57919
FINAL FANTASY XIV Online,Very Positive,"18 Feb, 2014",Square Enix,Square Enix,Single-player,violence/bad_language,None,None,None,719,None,"['Massively Multiplayer', 'RPG']",['windows'],['4 GB'],['60 GB'],[],None,21472,19255,2217,21472,18595,2877
Deep Rock Galactic,Overwhelmingly Positive,"28 Feb, 2018",Ghost Ship Games,Coffee Stain Publishing,Single-player,None,None,None,None,699,None,"['Action', 'Indie', 'Early Access']",['windows'],['6 GB'],['3 GB'],[],None,35091,27327,7764,35091,33519,1572
The Forest,Very Positive,"30 Apr, 2018",Endnight Games Ltd,Endnight Games Ltd,Single-player,None,None,None,None,529,None,"['Action', 'Adventure', 'Indie', 'Simulation']",['windows'],['4 GB'],['5 GB'],[],VR Support,176483,148562,27921,176483,165523,10960
CounterStrike,Overwhelmingly Positive,"1 Nov, 2000",Valve,Valve,Online PvP,None,None,None,None,349,None,['Action'],"['linux', 'windows', 'mac']",[],[],[],None,155468,86205,69263,155468,151506,3962
DJMAX RESPECT V,Very Positive,"12 Mar, 2020",NEOWIZ,NEOWIZ,Single-player,None,None,None,None,3199,None,"['Action', 'Casual', 'Sports']",['windows'],[' 4 GB RAM'],[' 20 GB available space'],[],None,5786,5483,303,5786,4768,1018
Team Fortress 2,Very Positive,"10 Oct, 2007",Valve,Valve,Cross-Platform Multiplayer,None,None,None,None,Free to Play,None,"['Action', 'Free to Play']","['linux', 'windows', 'mac']","['512 MB', '1 GB', '1 GB', '1 GB']","['15 GB', '15 GB', '15 GB', '15 GB']",[],None,653713,11203,642510,653713,615090,38623
Total War WARHAMMER II,Very Positive,"28 Sep, 2017",CREATIVE ASSEMBLY,SEGA,Single-player,violence/bad_language,None,None,None,2699,None,"['Action', 'Strategy']","['linux', 'windows', 'mac']","['5 GB', '8 GB', '8 GB']","['60 GB', '51 GB', '52 GB']",[],None,56645,38617,18028,56645,52305,4340
theHunter Call of the Wild,Very Positive,"16 Feb, 2017",Expansive Worlds,Expansive Worlds,Single-player,violence/bad_language,None,None,None,529,None,"['Adventure', 'Simulation', 'Sports']",['windows'],['4 GB'],['36 GB'],[],None,39460,32406,7054,39460,32587,6873
The Witcher 3 Wild Hunt,Overwhelmingly Positive,"18 May, 2015",CD PROJEKT RED,CD PROJEKT RED,Single-player,None,None,None,None,800,None,['RPG'],['windows'],['6 GB'],['35 GB'],[],None,358505,326076,32429,358505,351705,6800
Kingdom Under Fire 2,Mostly Positive,"18 Nov, 2019",Blueside,Gameforge 4D GmbH,MMO,None,2199,-50%,1099,749,None,"['Action', 'Massively Multiplayer', 'RPG', 'Strategy']",['windows'],['4 GB'],['25 GB'],[],None,1911,1285,626,1911,1181,730
Gears 5,Mixed,"6 Sep, 2019",The Coalition,Xbox Game Studios,Single-player,violence/bad_language,None,None,None,1299,None,"['Action', 'Adventure']",['windows'],['8 GB'],['80 GB'],[],None,11494,8567,2927,11494,7035,4459
Shadow of the Tomb Raider Definitive Edition,Very Positive,"14 Sep, 2018",Eidos-Montréal,Square Enix,Single-player,violence/bad_language,None,None,None,Shadow of the Tomb Raider Free Trial,None,"['Action', 'Adventure']","['linux', 'windows', 'mac']","['8 GB', '8 GB', '16 GB']","['40 GB', '40 GB', '40 GB', '40 GB']",[],None,31017,22314,8703,31017,24595,6422
Left 4 Dead 2,Overwhelmingly Positive,"17 Nov, 2009",Valve,Valve,Single-player,None,None,None,None,349,None,['Action'],"['linux', 'windows', 'mac']","['2 GB', '2 GB', '2 GB', '2 GB']","['13 GB', '13 GB', '13 GB', '13 GB']",[],None,346957,221712,125245,346957,336696,10261
Space Engineers,Very Positive,"28 Feb, 2019",Keen Software House,Keen Software House,Single-player,violence/bad_language,None,None,None,529,None,"['Action', 'Indie', 'Simulation', 'Strategy']",['windows'],['8 GB'],['25 GB'],[],None,87994,65226,22768,87994,77344,10650
SEGA Mega Drive and Genesis Classics,Very Positive,"1 Jun, 2010",D3T Limited,SEGA,Single-player,violence/bad_language,None,None,None,None,None,"['Action', 'Adventure', 'Casual', 'RPG']","['linux', 'windows']",[' 8 GB RAM'],[],[],VR Support,4067,2477,1590,4067,3378,689
DOOM,Very Positive,"12 May, 2016",id Software,Bethesda Softworks,Single-player,violence/bad_language,None,None,None,1599,None,['Action'],['windows'],['8 GB'],['55 GB'],[],None,116651,72473,44178,116651,110309,6342
